
-----------------------------------------------------------------

Namespace(epochs=100, num_users=100, frac=0.05, minibatch=0, lr=0.1, lr_decay=0.995, momentum=0.5, dataset='mnist', iid='false', num_classes=10, gpu=0, dp_mechanism='Laplace', dp_epsilon=100.0, dp_epsilon_global=0, dp_clip=200.0, runs=10)

 72,72.48
 73,72.97
 74,72.82
 75,72.55
 76,72.69
 77,73.71
 78,73.92
 79,75.45
 80,75.86
 81,75.27
 82,75.42
 83,76.43
 84,76.25
 85,76.30
 86,75.95
 87,76.24
 88,76.42
 89,76.00
 90,76.51
 91,76.45
 92,77.53
 93,78.01
 94,78.21
 95,78.43
 96,77.72
 97,77.85
 98,77.67
 99,78.09
Run 4 Of 10 Complete
  0,8.43
  1,11.12
  2,13.23
  3,13.89
  4,15.44
  5,17.79
  6,19.18
  7,20.86
  8,21.97
  9,22.09
 10,24.30
 11,28.09
 12,28.64
 13,30.23
 14,31.23
 15,30.53
 16,31.96
 17,33.60
 18,35.56
 19,37.06
 20,39.85
 21,42.99
 22,45.07
 23,47.68
 24,50.95
 25,50.81
 26,51.01
 27,53.77
 28,55.33
 29,55.86
 30,56.52
 31,55.67
 32,58.48
 33,59.09
 34,59.79
 35,56.70
 36,57.63
 37,58.28
 38,59.65
 39,60.43
 40,59.97
 41,60.13
 42,61.63
 43,61.49
 44,62.59
 45,63.05
 46,63.85
 47,64.90
 48,64.97
 49,65.60
 50,65.88
 51,66.16
 52,67.73
 53,68.13
 54,67.08
 55,66.38
 56,65.58
 57,65.97
 58,66.69
 59,67.35
 60,67.19
 61,66.73
 62,67.00
 63,68.51
 64,68.40
 65,68.90
 66,69.07
 67,69.60
 68,70.14
 69,69.25
 70,69.02
 71,68.84
 72,69.41
 73,69.11
 74,69.99
 75,70.16
 76,70.73
 77,70.15
 78,69.76
 79,71.01
 80,72.28
 81,72.61
 82,72.19
 83,72.77
 84,72.93
 85,72.43
 86,72.21
 87,73.43
 88,73.53
 89,73.49
 90,74.19
 91,73.55
 92,73.90
 93,73.71
 94,73.78
 95,73.92
 96,75.05
 97,74.06
 98,74.68
 99,75.42
Run 5 Of 10 Complete
  0,16.99
  1,18.94
  2,21.74
  3,20.81
  4,22.14
  5,22.40
  6,22.48
  7,21.81
  8,21.51
  9,23.67
 10,24.34
 11,25.34
 12,26.10
 13,27.54
 14,28.79
 15,29.19
 16,29.82
 17,32.24
 18,33.52
 19,36.80
 20,36.81
 21,39.47
 22,41.92
 23,46.11
 24,47.64
 25,46.48
 26,47.49
 27,47.20
 28,48.30
 29,50.79
 30,52.59
 31,53.49
 32,56.66
 33,57.51
 34,58.25
 35,60.20
 36,59.13
 37,60.63
 38,62.28
 39,63.50
 40,65.02
 41,64.51
 42,64.44
 43,65.38
 44,65.43
 45,64.65
 46,64.99
 47,65.40
 48,65.83
 49,66.54
 50,66.43
