
-----------------------------------------------------------------

Namespace(epochs=100, num_users=100, frac=0.05, minibatch=0, lr=0.1, lr_decay=0.995, momentum=0.5, dataset='mnist', iid='false', num_classes=10, gpu=0, dp_mechanism='Laplace', dp_epsilon=50.0, dp_epsilon_global=10, dp_clip=200.0, runs=10)

  0,12.19
  1,9.56
  2,10.31
  3,10.00
  4,7.84
  5,13.57
  6,12.53
  7,12.58
  8,8.01
  9,11.66
 10,15.34
 11,12.16
 12,9.26
 13,11.48
 14,7.25
 15,11.05
 16,15.36
 17,13.52
 18,10.23
 19,9.96
 20,10.08
 21,9.23
 22,9.27
 23,10.33
 24,7.19
 25,8.60
 26,8.40
 27,11.03
 28,14.48
 29,14.84
 30,11.85
 31,13.60
 32,11.28
 33,12.19
 34,13.09
 35,16.61
 36,12.92
 37,13.96
 38,14.40
