
-----------------------------------------------------------------

Namespace(epochs=100, num_users=100, frac=0.05, minibatch=0, lr=0.1, lr_decay=0.995, momentum=0.5, dataset='mnist', iid='false', num_classes=10, gpu=0, dp_mechanism='Laplace', dp_epsilon=100.0, dp_epsilon_global=0, dp_clip=200.0, runs=10)

  0,9.38
  1,11.98
  2,12.70
  3,16.97
  4,21.91
  5,24.31
  6,26.83
  7,29.61
  8,31.83
  9,36.51
 10,41.05
 11,43.34
 12,44.84
 13,45.32
 14,43.78
 15,46.48
 16,46.77
 17,45.97
 18,45.31
 19,47.08
 20,48.67
 21,48.93
 22,48.04
 23,47.46
 24,47.63
 25,47.87
 26,49.22
 27,48.80
 28,48.72
 29,48.73
 30,49.11
 31,48.24
 32,50.65
 33,49.83
 34,50.01
 35,51.23
 36,52.17
 37,53.28
 38,54.30
 39,54.88
 40,54.91
 41,55.96
 42,56.42
 43,57.44
 44,57.96
 45,58.49
 46,58.41
 47,58.28
 48,57.96
 49,58.69
 50,58.69
 51,58.64
 52,60.55
 53,61.85
 54,62.86
 55,62.78
 56,62.69
 57,62.93
 58,63.32
 59,64.02
 60,64.18
 61,64.98
 62,65.74
 63,65.55
 64,66.20
 65,65.98
 66,66.29
 67,66.63
 68,67.07
 69,68.05
 70,68.33
